1;5.0;35.0;1;1   ;null
1;6.2;26.1;2;null;2
1;4.0;24.9;3;1   ;1
1;4.2;22.1;1;null;null
1;6.2;26.1;2;null;2
1;4.0;24.9;3;1   ;1
1;4.2;22.1;1;null;null
1;5.3;20.8;1;1   ;null
1;3.1;26.2;1;null;2
1;5.3;35.8;2;null;null
1;2.1;26.2;3;null;null
1;5.0;35.0;1;1   ;null
1;6.2;26.1;2;null;2
1;4.0;24.9;3;1   ;1
1;4.2;22.1;1;null;null
1;5.3;20.8;1;null;null
1;4.1;26.2;1;null;1
1;5.3;20.8;1;null;null
1;4.1;26.2;1;1   ;null
1;6.1;35.0;1;1   ;null
1;6.2;26.1;2;null;2
1;4.0;24.9;3;1   ;1
1;4.2;22.1;1;null;null
1;5.3;20.8;1;1   ;null
1;3.1;26.2;1;null;2
1;5.3;35.8;2;null;null
1;2.1;26.2;3;null;null
2;5.0;35.0;1;1   ;null
2;6.2;26.1;2;null;2
2;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
2;5.3;20.8;1;null;null
2;4.1;26.2;1;null;1
1;5.3;20.8;1;null;null
1;4.1;26.2;1;1   ;null
4;6.1;35.0;1;1   ;null
4;6.2;26.1;2;null;2
1;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
1;5.3;20.8;1;1   ;null
4;3.1;26.2;1;null;2
1;5.3;35.8;2;null;null
3;2.1;26.2;3;null;null
1;4.2;22.1;1;null;null
1;5.3;20.8;1;null;null
4;4.1;26.2;1;null;1
4;5.3;20.8;1;null;null
1;4.1;26.2;1;1   ;null
2;6.1;35.0;1;1   ;null
1;6.2;26.1;2;null;2
5;4.0;24.9;3;1   ;1
5;4.2;22.1;1;null;null
6;5.3;20.8;1;1   ;null
7;3.1;26.2;1;null;2
7;5.3;35.8;2;null;null
7;2.1;26.2;3;null;null
2;5.0;35.0;1;1   ;null
2;6.2;26.1;2;null;2
6;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
4;5.3;20.8;1;null;null
2;4.1;26.2;1;null;1
1;5.3;20.8;1;null;null
3;4.1;26.2;1;1   ;null
4;6.1;35.0;1;1   ;null
1;6.2;26.1;2;null;2
3;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
3;5.3;20.8;1;1   ;null
1;3.1;26.2;1;null;2
1;5.3;35.8;2;null;null
7;2.1;26.2;3;null;null
6;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
4;5.3;20.8;1;null;null
2;4.1;26.2;1;null;1
5;5.3;20.8;1;null;null
5;4.1;26.2;1;1   ;null
4;6.1;35.0;1;1   ;null
5;6.2;26.1;2;null;2
3;4.0;24.9;3;1   ;1
2;4.2;22.1;1;null;null
3;5.3;20.8;1;1   ;null
5;3.1;26.2;1;null;2
5;5.3;35.8;2;null;null
7;2.1;26.2;3;null;null
6;5.3;20.8;1;1   ;null
6;3.1;26.2;1;null;2
6;5.3;35.8;2;null;null
6;2.1;26.2;3;null;null
